active_period,mint_count,burn_count,swap_count,mint_mean_period,burn_mean_period,swap_mean_period,token_burn_ratio,swapIn,swapOut,lp_avg,lp_std,creator_holding_ratio,lp_lock_ratio,is_MEV,is_rugpull
121452,1,0,601,0,0,2226,0.0,263,338,2.083333333333333,61.29964273957884,0.0,0.0,True,False
120,1,1,8,0,120,15,0.0,5,3,25.0,56.16563451079316,28.96,0.0,True,True
312,1,1,72,0,312,57,0.0,48,24,2.631578947368421,47.6449065041529,47.39,0.0,True,True
260820,1,0,544,0,0,37258,0.0,270,274,1.6129032258064515,84.93602182363975,0.0,0.0,True,False
97236,1,0,250,0,0,1254,0.0,119,131,3.125,79.08470522167988,0.0,0.0,True,False
156,1,1,2,0,156,30,0.0,2,0,25.0,50.72538122084446,59.8,0.0,True,True
12516,1,0,43,0,0,1281,0.0,28,15,100.0,0.0,0.0,0.0,True,True
28872,1,0,75,0,0,1005,0.0,53,22,100.0,0.0,100.0,0.0,True,True
283464,1,0,280,0,0,7011,11.44,153,127,3.8461538461538463,67.96084930650544,0.0,11.44,True,False
153456,1,1,4,0,153456,927,0.0,2,2,50.0,14.67953677743273,39.62,0.0,True,True
372,1,1,24,0,120,58,0.0,16,8,9.090909090909092,64.36583170370047,24.12,0.0,True,True
7944,1,1,28,0,7944,1096,0.0,25,3,4.545454545454546,72.04607294830667,74.68,0.0,True,True
324,1,1,63,0,324,44,0.0,57,6,2.631578947368421,59.4133018510342,60.15,0.0,True,True
48,1,1,51,0,48,15,0.0,31,20,4.3478260869565215,55.98900730617069,54.17,0.0,True,True
14820,1,0,36,0,0,504,0.0,17,19,14.285714285714286,67.65196935154849,0.0,0.0,True,False
300,1,1,34,0,300,35,0.0,25,9,5.555555555555555,63.94822940820523,62.62,0.0,True,True
152808,1,0,442,0,0,11648,0.0,205,237,2.127659574468085,82.93757525610273,0.0,0.0,True,False
47664,1,0,198,0,0,10865,0.0,150,48,100.0,0.0,0.0,0.0,True,True
588,1,1,13,0,588,506,0.0,9,4,11.11111111111111,68.91550688262322,75.11,0.0,True,True
912,1,0,74,0,0,169,0.0,58,16,100.0,0.0,0.0,0.0,True,True
307128,1,0,1141,0,0,2445,0.0,739,402,1.0,61.61235752671698,0.0,0.0,True,False
228,1,1,293,0,204,62,0.0,188,105,1.0,38.02818691444547,38.74,0.0,True,True
185952,2,0,594,1782,0,3947,0.0,325,269,1.9230769230769231,69.8537276688279,2.31,0.0,True,False
179208,1,0,389,0,0,7353,0.0,190,199,2.5,84.20583887118518,0.0,0.0,True,False
828,1,1,31,0,828,577,0.0,31,0,3.0303030303030303,42.310755026459766,32.01,0.0,True,True
69792,1,0,218,0,0,1790,0.0,108,110,3.703703703703704,78.94698603305703,0.0,0.0,True,False
176124,1,0,1207,0,0,7854,0.0,649,558,1.0,46.89016634647399,0.0,0.0,True,False
2724,1,1,8,0,2724,541,0.0,6,2,16.666666666666668,34.07129485847776,0.0,0.0,True,True
300,1,1,217,0,264,98,0.0,155,62,2.631578947368421,62.0694345492462,63.7,0.0,True,True
96,1,1,3,0,96,40,0.0,2,1,33.333333333333336,55.97077332560867,77.68,0.0,True,True
96,1,1,0,0,96,0,0.0,0,0,50.0,14.283556979968262,60.1,0.0,True,True
22488,1,0,162,0,0,480,0.0,76,86,4.0,78.9026431749913,0.0,0.0,True,False
13920,1,0,90,0,0,965,0.0,59,31,100.0,0.0,0.0,0.0,True,True
336,1,1,35,0,336,108,0.0,34,1,2.9411764705882355,48.24834535413381,50.45,0.0,True,True
624,1,1,48,0,624,110,0.0,27,21,12.5,64.51981401089127,68.33,0.0,True,True
3192,1,1,64,0,3192,59,0.0,54,10,1.96078431372549,48.32058208404752,17.92,0.0,True,True
96,1,1,3,0,96,64,0.0,3,0,20.0,51.06794101978266,51.84,0.0,True,True
588,1,1,1,0,588,0,0.0,1,0,33.333333333333336,41.82288926732186,58.52,0.0,True,True
3228,1,0,118,0,0,689,0.0,77,41,100.0,0.0,0.0,0.0,True,True
7776,1,1,350,0,1368,247,0.0,197,153,1.0,36.65821054006865,36.59,0.0,True,True
1608,1,1,15,0,1608,58,0.0,14,1,6.666666666666667,69.13031992789658,71.68,0.0,True,True
226224,1,0,43,0,0,18389,0.0,27,16,7.6923076923076925,82.1619195903384,0.0,0.0,True,False
4272,1,1,5,0,4272,52,0.0,5,0,14.285714285714286,67.81338784803906,21.6,0.0,True,True
222684,1,1,110,0,222684,3433,0.0,50,60,5.2631578947368425,79.14363577831469,82.26,0.0,True,True
